公司代码	公司简称	A股代码	A股简称	A股上市日期	B股代码	B股 简 称	B股上市日期	城 市
000430	张 家 界	430	ST张家界	1996-8-29	　	　	　	张家界市
000468	宁 通 信	　	　	　	200468	宁通信Ｂ	1997-5-22	南京市
000488	晨鸣纸业	488	晨鸣纸业	2000-11-20	200488	晨 鸣Ｂ	1997-5-26	潍坊市
000498	丹东化纤	498	*ST 丹化	1997-6-9	　	　	　	丹东市
000501	鄂 武 商	501	鄂武商Ａ	1992-11-20	　	　	　	武汉市
000502	绿景地产	502	绿景地产	1992-11-23	　	　	　	广州市
000503	海虹控股	503	海虹控股	1992-11-30	　	　	　	海口市
000504	赛迪传媒	504	赛迪传媒	1992-12-8	　	　	　	北京市
000505	珠江控股	505	*ST珠江	1992-12-21	200505	*ST珠江B	1995-6-29	海口市
000506	中润投资	506	ST中润	1993-3-12	　	　	　	济南市
000507	粤 富 华	507	粤 富 华	1993-3-26	　	　	　	珠海市
000509	华塑控股	509	S ST华塑	1993-5-7	　	　	　	南充市
000510	金路集团	510	金路集团	1993-5-7	　	　	　	德阳市
000511	银基发展	511	银基发展	1993-5-18	　	　	　	沈阳市
000512	闽 灿 坤	　	　	　	200512	闽灿坤Ｂ	1993-6-30	厦门市
000513	丽珠集团	513	丽珠集团	1993-10-28	200513	丽 珠Ｂ	1993-7-20	珠海市
000514	渝 开 发	514	渝 开 发	1993-7-12	　	　	　	重庆市
000516	开元控股	516	开元控股	1993-8-9	　	　	　	西安市
000517	荣安地产	517	ST成功	1993-8-6	　	　	　	宁波市
000518	四环生物	518	*ST生物	1993-9-8	　	　	　	无锡市
000519	银河动力	519	银河动力	1993-10-8	　	　	　	成都市
000520	长航凤凰	520	长航凤凰	1993-10-25	　	　	　	武汉市
000521	美菱电器	521	美菱电器	1993-10-18	200521	皖美菱Ｂ	1996-8-28	合肥市
000522	白 云 山	522	白云山Ａ	1993-11-8	　	　	　	广州市
000523	广州浪奇	523	广州浪奇	1993-11-8	　	　	　	广州市
000524	东方宾馆	524	东方宾馆	1993-11-18	　	　	　	广州市
000525	红 太 阳	525	红 太 阳	1993-10-28	　	　	　	南京市
000526	旭飞投资	526	旭飞投资	1993-11-1	　	　	　	厦门市
000527	美的电器	527	美的电器	1993-11-12	　	　	　	佛山市
000528	柳 工	528	柳 工	1993-11-18	　	　	　	柳州市
000529	广弘控股	529	广弘控股	1993-11-18	　	　	　	江门市
000530	大冷股份	530	大冷股份	1993-12-8	200530	大 冷Ｂ	1998-3-20	大连市
000531	穗 恒 运	531	穗恒运Ａ	1994-1-6	　	　	　	广州市
000532	力合股份	532	力合股份	1994-1-3	　	　	　	珠海市
000533	万 家 乐	533	万 家 乐	1994-1-3	　	　	　	佛山市
000534	万泽股份	534	万泽股份	1994-1-10	　	　	　	汕头市
000536	闽 闽 东	536	闽闽东	1993-11-26	　	　	　	福州市
000537	广宇发展	537	广宇发展	1993-12-10	　	　	　	天津市
000538	云南白药	538	云南白药	1993-12-15	　	　	　	昆明市
000539	粤 电 力	539	粤电力Ａ	1993-11-26	200539	粤电力Ｂ	1995-6-28	广州市
000540	中天城投	540	中天城投	1994-2-2	　	　	　	贵阳市
000541	佛山照明	541	佛山照明	1993-11-23	200541	粤照明Ｂ	1995-8-8	佛山市
000543	皖能电力	543	皖能电力	1993-12-20	　	　	　	合肥市
000544	中原环保	544	中原环保	1993-12-8	　	　	　	郑州市
000545	吉林制药	545	吉林制药	1993-12-15	　	　	　	吉林市
000546	光华控股	546	光华控股	1993-12-15	　	　	　	长春市
000547	神州学人	547	闽福发Ａ	1993-11-30	　	　	　	福州市
000548	湖南投资	548	湖南投资	1993-12-20	　	　	　	长沙市
000550	江铃汽车	550	江铃汽车	1993-12-1	200550	江 铃Ｂ	1995-9-29	南昌市
000551	创元科技	551	创元科技	1994-1-6	　	　	　	苏州市
000552	靖远煤电	552	靖远煤电	1994-1-6	　	　	　	白银市
000553	沙 隆 达	553	沙隆达Ａ	1993-12-3	200553	沙隆达Ｂ	1997-5-15	荆州市
000554	泰山石油	554	泰山石油	1993-12-15	　	　	　	泰安市
000555	太光电信	555	ST 太 光	1994-4-8	　	　	　	深圳市
000557	银 广 夏	557	ST银广夏	1994-6-17	　	　	　	银川市
000558	莱茵置业	558	莱茵置业	1994-5-9	　	　	　	杭州市
